timestamp,city,weather,weather description,temperature,humidity,pressure,wind speed,wind direction,clouds
2026-06-06 17:14:57.865307,rome,Clouds,overcast clouds,84.33,57,1016,3.51,157,100
2026-06-06 17:14:59.047405,tokyo,Clouds,overcast clouds,64.31,87,1019,5.84,52,100
2026-06-06 17:15:00.190543,st. louis,Clouds,overcast clouds,86.13,63,1012,1.99,288,98
2026-06-06 17:15:01.349469,beijing,Clear,clear sky,59.43,67,1013,1.52,356,0
2026-06-06 17:15:02.509561,shanghai,Clouds,scattered clouds,72.09,76,1008,1.86,38,48
2026-06-06 17:15:03.667327,chicago,Clouds,broken clouds,77.43,69,1011,5.01,37,55
2026-06-06 17:15:04.822695,seoul,Clouds,overcast clouds,69.64,41,1010,5.48,58,100
2026-06-06 17:15:05.996629,berlin,Clouds,overcast clouds,59.7,86,1015,5.75,148,100
2026-06-06 17:15:07.159214,mumbai,Clouds,overcast clouds,87.39,66,1006,3.96,281,99
2026-06-06 17:15:08.330617,kansas city,Clouds,overcast clouds,80.55,73,1011,18.01,200,100
2026-06-06 17:15:09.498090,detroit,Clouds,few clouds,85.46,51,1009,12.55,289,16
2026-06-06 17:15:49.398693,london,Clouds,overcast clouds,57.31,81,1012,13,300,100
2026-06-06 17:17:49.307179,london,Clouds,overcast clouds,57.31,81,1012,13,300,100
2026-06-06 17:19:49.364902,london,Clouds,overcast clouds,57.31,80,1012,11.01,317,100
2026-06-06 17:21:49.305374,london,Clouds,overcast clouds,57.31,80,1012,11.01,317,100
2026-06-06 17:23:49.300605,london,Clouds,overcast clouds,57.31,80,1012,11.01,317,100
2026-06-06 17:25:49.299758,london,Clouds,overcast clouds,57.31,80,1012,11.01,317,100
2026-06-06 17:27:49.322517,london,Clouds,overcast clouds,57.31,80,1012,11.01,317,100
2026-06-06 17:29:49.300621,london,Clouds,overcast clouds,57.09,80,1012,7,271,100
